"alphaCode_bc","comName","comName_tmp","alphaCode_bc_tmp","speciesCode","comNameCode","bandingCode","sciNameCode","sciName"
"MOBL","Mountain Bluebird","Mountain Bluebird","MOBL","moublu","","MOBL","SICU","Sialia currucoides"
"MOCH","Mountain Chickadee","Mountain Chickadee","MOCH","mouchi","","MOCH","POGA","Poecile gambeli"
"MODO","Mourning Dove","Mourning Dove","MODO","moudov","","MODO","ZEMA","Zenaida macroura"
"MOQU","Mountain Quail","Mountain Quail","MOQU","mouqua","MOQU","MOUQ","ORPI","Oreortyx pictus"
"MOWA","Mourning Warbler","Mourning Warbler","MOWA","mouwar","","MOWA","GEPH","Geothlypis philadelphia"
"MUSW","Mute Swan","Mute Swan","MUSW","mutswa","","MUSW","CYOL","Cygnus olor"
"MYWA","Yellow-rumped Warbler (Myrtle)","Yellow-rumped Warbler (Myrtle)","MYWA","myrwar","MYWA YRWA","MYWA","SECO","Setophaga coronata coronata"
"NAWA","Nashville Warbler","Nashville Warbler","NAWA","naswar","","NAWA","LERU","Leiothlypis ruficapilla"
"NHOW","Northern Hawk Owl","Northern Hawk Owl","NHOW","nohowl","NOHO","NHOW","SUUL","Surnia ulula"
"NOBO","Northern Bobwhite","Northern Bobwhite","NOBO","norbob","","NOBO","COVI","Colinus virginianus"
"NOCR","Northwestern Crow","Northwestern Crow","NOCR","","","","",""
"NOFL","Northern Flicker","Northern Flicker","NOFL","norfli","YSSF","NOFL","COAU","Colaptes auratus"
"NOFU","Northern Fulmar","Northern Fulmar","NOFU","norful","","NOFU","FUGL","Fulmarus glacialis"
"NOGO","Northern Goshawk","Northern Goshawk","NOGO","","","","",""
"NOHA","Northern Harrier","Northern Harrier","NOHA","norhar2","","NOHA","CIHU","Circus hudsonius"
"NOMO","Northern Mockingbird","Northern Mockingbird","NOMO","normoc","","NOMO","MIPO","Mimus polyglottos"
"NOPI","Northern Pintail","Northern Pintail","NOPI","norpin","","NOPI","ANAC","Anas acuta"
"NOSH","Northern Shrike","Northern Shrike","NOSH","norshr4","NGSH NOSH","NSHR","LABO","Lanius borealis"
"NOSL","Northern Shoveler","Northern Shoveler","NOSL","norsho","NOSH","NSHO","SPCL","Spatula clypeata"
"NOWA","Northern Waterthrush","Northern Waterthrush","NOWA","norwat","","NOWA","PANO","Parkesia noveboracensis"
"NPOW","Northern Pygmy-Owl","Northern Pygmy-Owl","NPOW","nopowl","NPOW","NOPO","GLGN","Glaucidium gnoma"
"NRWS","Northern Rough-winged Swallow","Northern Rough-winged Swallow","NRWS","nrwswa","","NRWS","STSE","Stelgidopteryx serripennis"
"NSTS","Nelson's Sparrow","Nelson's Sparrow","NSTS","nstspa","","NESP","AMNE","Ammospiza nelsoni"
"NSWO","Northern Saw-whet Owl","Northern Saw-whet Owl","NSWO","nswowl","","NSWO","AEAC","Aegolius acadicus"
"OCWA","Orange-crowned Warbler","Orange-crowned Warbler","OCWA","orcwar","","OCWA","LECE","Leiothlypis celata"
"OSFL","Olive-sided Flycatcher","Olive-sided Flycatcher","OSFL","olsfly","","OSFL","COCO","Contopus cooperi"
"OSPR","Osprey","Osprey","OSPR","osprey","","OSPR","PAHA","Pandion haliaetus"
"OVEN","Ovenbird","Ovenbird","OVEN","ovenbi1","","OVEN","SEAU","Seiurus aurocapilla"
"PAJA","Parasitic Jaeger","Parasitic Jaeger","PAJA","parjae","ARJA ARSK","PAJA","STPA","Stercorarius parasiticus"
"PALO","Pacific Loon","Pacific Loon","PALO","pacloo","PADI","PALO","GAPA","Gavia pacifica"
"PAWA","Palm Warbler","Palm Warbler","PAWA","palwar","","PAWA","SEPA","Setophaga palmarum"
"PAWR","Pacific Wren","Pacific Wren","PAWR","pacwre1","","PAWR","TRPA","Troglodytes pacificus"
"PBGR","Pied-billed Grebe","Pied-billed Grebe","PBGR","pibgre","","PBGR","POPO","Podilymbus podiceps"
"PEAF","Indian Peafowl","Indian Peafowl","PEAF","compea","","INPE","PACR","Pavo cristatus"
"PECO","Pelagic Cormorant","Pelagic Cormorant","PECO","pelcor","","PECO","URPE","Urile pelagicus"
"PEFA","Peregrine Falcon","Peregrine Falcon","PEFA","perfal","","PEFA","FAPE","Falco peregrinus"
"PHVI","Philadelphia Vireo","Philadelphia Vireo","PHVI","phivir","","PHVI","VIPH","Vireo philadelphicus"
"PIGR","Pine Grosbeak","Pine Grosbeak","PIGR","pingro","","PIGR","PIEN","Pinicola enucleator"
"PIGU","Pigeon Guillemot","Pigeon Guillemot","PIGU","piggui","","PIGU","CECO","Cepphus columba"
"PISI","Pine Siskin","Pine Siskin","PISI","pinsis","","PISI","SPPI","Spinus pinus"
"PIWO","Pileated Woodpecker","Pileated Woodpecker","PIWO","pilwoo","","PIWO","DRPI","Dryocopus pileatus"
"POWA","Prothonotary Warbler","Prothonotary Warbler","POWA","prowar","PRWA","PROW","PRCI","Protonotaria citrea"
"PRFA","Prairie Falcon","Prairie Falcon","PRFA","prafal","","PRFA","FAME","Falco mexicanus"
"PSFL","Pacific-slope Flycatcher","Pacific-slope Flycatcher","PSFL","","","","",""
"PUFI","Purple Finch","Purple Finch","PUFI","purfin","","PUFI","HAPU","Haemorhous purpureus"
"PUMA","Purple Martin","Purple Martin","PUMA","purmar","","PUMA","PRSU","Progne subis"
"PYNU","Pygmy Nuthatch","Pygmy Nuthatch","PYNU","pygnut","","PYNU","SIPY","Sitta pygmaea"
"RBGR","Rose-breasted Grosbeak","Rose-breasted Grosbeak","RBGR","robgro","","RBGR","PHLU","Pheucticus ludovicianus"
