"speciesCode","comNameCode","bandingCode","comName","sciNameCode","sciName","familyComName","familySciName","familyCode","order"
"bkbcuc","","BBCU","Black-billed Cuckoo","COER","Coccyzus erythropthalmus","Cuckoos","Cuculidae","cuculi1","Cuculiformes"
"lesnig","","LENI","Lesser Nighthawk","CHAC","Chordeiles acutipennis","Nightjars and Allies","Caprimulgidae","caprim2","Caprimulgiformes"
"comnig","","CONI","Common Nighthawk","CHMI","Chordeiles minor","Nightjars and Allies","Caprimulgidae","caprim2","Caprimulgiformes"
"compoo","","COPO","Common Poorwill","PHNU","Phalaenoptilus nuttallii","Nightjars and Allies","Caprimulgidae","caprim2","Caprimulgiformes"
"blkswi","ABSW","BLSW","Black Swift","CYNI","Cypseloides niger","Swifts","Apodidae","apodid1","Caprimulgiformes"
"vauswi","","VASW","Vaux's Swift","CHVA","Chaetura vauxi","Swifts","Apodidae","apodid1","Caprimulgiformes"
"whtswi","","WTSW","White-throated Swift","AESA","Aeronautes saxatalis","Swifts","Apodidae","apodid1","Caprimulgiformes"
"maghum1","MAHU","RIHU","Rivoli's Hummingbird","EUFU","Eugenes fulgens","Hummingbirds","Trochilidae","trochi1","Caprimulgiformes"
"rthhum","","RTHU","Ruby-throated Hummingbird","ARCO","Archilochus colubris","Hummingbirds","Trochilidae","trochi1","Caprimulgiformes"
"bkchum","","BCHU","Black-chinned Hummingbird","ARAL","Archilochus alexandri","Hummingbirds","Trochilidae","trochi1","Caprimulgiformes"
"annhum","","ANHU","Anna's Hummingbird","CAAN","Calypte anna","Hummingbirds","Trochilidae","trochi1","Caprimulgiformes"
"x00651","ANHU BCHU","","Black-chinned x Anna's Hummingbird (hybrid)","CAAN ARAL","Archilochus alexandri x Calypte anna","Hummingbirds","Trochilidae","trochi1","Caprimulgiformes"
"coshum","","COHU","Costa's Hummingbird","CACO","Calypte costae","Hummingbirds","Trochilidae","trochi1","Caprimulgiformes"
"calhum","","CAHU","Calliope Hummingbird","SECA","Selasphorus calliope","Hummingbirds","Trochilidae","trochi1","Caprimulgiformes"
"rufhum","","RUHU","Rufous Hummingbird","SERU","Selasphorus rufus","Hummingbirds","Trochilidae","trochi1","Caprimulgiformes"
"x00738","BCHU RUHU","","Black-chinned x Rufous Hummingbird (hybrid)","ARAL SERU","Archilochus alexandri x Selasphorus rufus","Hummingbirds","Trochilidae","trochi1","Caprimulgiformes"
"x00626","ANHU RUHU","","Anna's x Rufous Hummingbird (hybrid)","CAAN SERU","Calypte anna x Selasphorus rufus","Hummingbirds","Trochilidae","trochi1","Caprimulgiformes"
"brthum","","BTHU","Broad-tailed Hummingbird","SEPL","Selasphorus platycercus","Hummingbirds","Trochilidae","trochi1","Caprimulgiformes"
